host_is_superhost,host_identity_verified,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,neighbourhood,room
1,1,1.0,1.0,3.0,4,32,59,0.0,0.6,2,0.39,2,21,287,0,0,3,0,0,4,1
1,1,1.0,1.0,3.0,4,44,149,1.0,0.25,1,0.25,1,730,365,0,0,4,0,0,3,1
0,1,1.0,0.0,1.0,4,36,225,3.5,1.0,2,0.0,1,1125,346,0,0,3,1,1,4,2
0,1,1.0,1.0,1.0,4,12,89,3.0,0.6,1,0.45,1,730,307,0,0,3,0,0,3,1
0,1,1.0,1.0,1.0,4,25,70,1.5,1.25,2,0.5,5,730,186,0,0,3,0,0,3,1
0,1,1.0,1.0,1.0,4,16,52,15.0,0.0,1,0.0,30,180,285,0,0,3,0,0,4,1
0,0,1.0,1.0,3.0,4,29,375,12.0,1.0,1,0.25,1,1124,365,0,0,4,0,0,3,2
0,0,1.0,1.0,1.0,4,22,185,3.0,1.25,2,0.75,2,16,326,0,0,3,1,1,4,2
0,1,1.0,0.0,1.0,4,21,329,0.0,1.5,1,0.0,3,365,364,0,0,2,0,1,4,2
1,1,2.0,4.0,6.0,4,19,225,5.0,1.5,4,0.25,4,365,229,0,0,3,0,1,4,2
1,1,1.0,1.0,1.0,4,37,129,2.0,0.9,2,0.0,3,30,0,0,0,3,0,1,4,2
0,1,1.0,3.0,6.0,4,21,180,2.0,0.8,4,0.2,5,60,157,1,0,3,0,0,3,2
1,1,1.0,1.0,2.0,4,27,120,0.0,0.4,2,0.1,1,1125,279,0,0,3,0,0,4,2
0,1,1.0,3.0,5.0,4,27,180,2.0,0.8,4,0.2,5,100,158,1,0,3,0,0,3,2
0,1,1.0,3.0,5.0,4,21,180,2.0,0.8,4,0.2,30,100,155,1,0,3,0,0,3,2
1,1,1.0,1.0,0.0,4,37,89,2.0,0.64,1,0.18,4,15,338,0,0,3,1,0,3,1
1,0,1.0,1.0,1.0,4,19,65,1.5,0.4,1,0.4,2,28,339,1,0,3,0,0,4,1
0,0,1.0,1.0,1.0,4,17,85,2.0,0.8,1,0.4,2,730,340,0,0,3,0,0,4,1
1,1,1.0,1.0,1.0,4,31,105,0.0,0.37,1,0.35,2,365,329,1,0,3,0,0,3,1
1,1,1.0,1.0,1.0,4,28,175,5.0,1.0,1,0.1,90,365,188,0,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,28,190,5.0,1.0,1,0.0,5,30,236,0,0,3,0,0,4,2
1,1,2.5,1.0,1.0,4,44,95,0.0,0.85,2,0.5,3,30,126,0,0,3,1,1,3,1
1,1,1.0,2.0,2.0,4,28,145,0.0,0.79,2,0.14,3,90,316,1,0,3,1,1,3,1
1,1,1.0,1.0,1.0,4,40,140,0.0,0.0,2,0.35,1,180,0,0,0,3,1,1,4,1
1,0,1.0,1.0,1.0,4,34,99,5.0,0.5,3,0.5,3,730,179,1,0,4,0,0,3,2
0,1,3.0,1.0,2.0,4,38,130,0.0,0.1,2,0.3,2,90,352,0,0,4,0,1,3,1
0,1,1.0,2.0,3.0,4,26,285,5.0,1.0,2,0.25,5,1125,230,0,0,3,0,1,4,2
0,1,2.0,1.0,3.0,4,21,100,1.0,1.0,4,0.2,3,60,0,1,0,4,0,0,3,2
0,1,1.0,1.0,2.0,4,28,92,3.0,0.5,1,0.15,30,1125,326,0,0,3,0,0,4,1
1,1,1.0,1.0,2.0,4,19,49,0.0,0.65,2,0.39,2,21,251,0,0,3,0,0,4,1
1,1,1.0,1.0,1.0,4,26,85,0.0,0.35,2,0.0,3,200,325,1,0,3,1,1,3,1
1,0,1.0,1.0,1.0,4,16,60,0.0,0.3,1,0.2,1,20,80,0,0,4,0,0,3,1
0,1,1.0,1.0,1.0,4,10,44,0.0,0.2,2,0.3,3,30,345,0,0,3,0,0,4,1
0,1,2.5,2.0,2.0,4,33,250,5.0,2.5,4,0.5,14,90,33,0,0,3,0,0,3,2
0,1,1.5,1.0,1.0,4,12,52,1.5,0.5,1,0.15,2,730,323,0,0,3,0,0,4,1
0,1,1.0,1.0,1.0,4,12,89,1.0,0.3,1,0.55,1,60,365,0,0,3,0,0,4,1
1,0,1.0,1.0,1.0,4,30,111,2.5,0.5,1,0.5,30,1124,327,0,0,3,0,0,4,1
1,1,1.0,1.0,2.0,4,40,89,2.0,0.64,1,0.18,4,20,337,0,0,3,1,0,3,1
1,1,1.0,1.0,1.0,2,10,35,0.0,0.0,1,0.35,1,28,278,0,0,3,0,0,4,0
0,1,1.0,2.0,2.0,4,24,175,0.0,0.65,1,0.15,3,730,344,0,0,3,0,0,3,2
1,1,1.0,1.0,1.0,4,29,68,1.0,0.3,1,0.15,2,75,57,0,0,3,1,0,4,1
0,1,2.0,2.0,5.0,4,46,240,2.5,0.0,5,0.5,4,365,247,0,0,3,0,1,4,2
0,0,2.0,3.0,3.0,4,41,500,7.0,2.0,4,1.0,4,60,249,0,0,3,0,0,4,2
0,1,1.0,1.0,1.0,4,16,110,5.0,0.9,2,0.0,7,365,31,0,0,3,0,1,3,2
1,1,2.0,1.0,1.0,4,44,101,3.0,0.9,1,0.19,3,12,308,1,0,3,0,0,3,1
0,0,3.0,4.0,6.0,4,34,250,5.0,1.5,9,0.5,30,60,0,0,0,3,0,0,3,2
0,0,1.0,0.0,0.0,2,22,70,2.0,1.0,1,0.0,1,30,363,0,0,5,1,1,3,1
