id,host_response_rate,host_is_superhost,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,state,country_code,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,is_business_travel_ready,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month,is_success
2515,0.88,1,1,Harlem,Manhattan,NY,US,Private room,3,1.0,1.0,3.0,Real Bed,32,0.59,0.0,0.6,2,0.39,2,21,287,174,93.0,9.0,9.0,10.0,9.0,9.0,9.0,0,0,0.02,0,0,1.42,1
2539,1.0,1,1,Kensington,Brooklyn,NY,US,Private room,4,1.0,1.0,3.0,Real Bed,44,1.49,1.0,0.25,1,0.25,1,730,365,9,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.01,0,0,0.25,1
2595,0.85,0,1,Midtown,Manhattan,NY,US,Entire home/apt,2,1.0,0.0,1.0,Real Bed,36,2.25,3.5,1.0,2,0.0,1,1125,346,38,95.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,1,1,0.35,1
15729,0.7,0,1,Red Hook,Brooklyn,NY,US,Private room,4,1.0,1.0,1.0,Real Bed,12,0.89,3.0,0.6,1,0.45,1,730,307,22,79.0,7.0,7.0,9.0,9.0,8.0,7.0,0,0,0.02,0,0,0.21,1
3330,1.0,0,1,Williamsburg,Brooklyn,NY,US,Private room,2,1.0,1.0,1.0,Real Bed,25,0.7,1.5,1.25,2,0.5,5,730,186,36,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0,0.02,0,0,0.33,1
16421,1.0,0,1,Hell's Kitchen,Manhattan,NY,US,Private room,1,1.0,1.0,1.0,Real Bed,16,0.52,15.0,0.0,1,0.0,30,180,285,189,89.0,9.0,9.0,10.0,10.0,10.0,9.0,0,0,0.02,0,0,1.75,1
16595,0.95,0,0,Williamsburg,Brooklyn,NY,US,Entire home/apt,3,1.0,1.0,3.0,Real Bed,29,3.75,12.0,1.0,1,0.25,1,1124,365,126,92.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0,0.01,0,0,1.29,1
5099,1.0,0,0,Murray Hill,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,22,1.85,3.0,1.25,2,0.75,2,16,326,67,88.0,9.0,9.0,10.0,10.0,9.0,9.0,0,0,0.02,1,1,0.58,1
16885,0.71,0,1,Murray Hill,Manhattan,NY,US,Entire home/apt,2,1.0,0.0,1.0,Real Bed,21,3.29,0.0,1.5,1,0.0,3,365,364,1,80.0,6.0,10.0,6.0,8.0,8.0,6.0,0,0,0.03,0,1,0.09,1
16974,1.0,1,1,East Harlem,Manhattan,NY,US,Entire home/apt,8,2.0,4.0,6.0,Real Bed,19,2.25,5.0,1.5,4,0.25,4,365,229,163,96.0,10.0,9.0,10.0,10.0,9.0,9.0,0,0,0.02,0,1,1.51,1
5172,1.0,1,1,Murray Hill,Manhattan,NY,US,Entire home/apt,2,1.0,1.0,1.0,Real Bed,37,1.29,2.0,0.9,2,0.0,3,30,0,85,94.0,10.0,10.0,9.0,10.0,10.0,10.0,0,0,0.02,0,1,0.73,1
