review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,average_score,is_success
4.65,4.5,4.5,5.0,4.5,4.5,4.5,4.59,1
4.9,5.0,5.0,5.0,5.0,5.0,5.0,4.99,1
4.75,4.5,4.5,5.0,5.0,5.0,4.5,4.75,1
3.95,3.5,3.5,4.5,4.5,4.0,3.5,3.92,0
4.9,5.0,5.0,5.0,5.0,5.0,5.0,4.99,1
4.45,4.5,4.5,5.0,5.0,5.0,4.5,4.71,1
4.6,5.0,4.5,5.0,5.0,4.5,4.5,4.73,1
4.4,4.5,4.5,5.0,5.0,4.5,4.5,4.63,1
4.0,3.0,5.0,3.0,4.0,4.0,3.0,3.71,0
4.8,5.0,4.5,5.0,5.0,4.5,4.5,4.76,1
4.7,5.0,5.0,4.5,5.0,5.0,5.0,4.89,1
4.0,4.0,3.5,4.5,4.5,4.0,4.0,4.07,0
4.65,4.5,4.5,5.0,5.0,4.5,4.5,4.66,1
4.3,4.5,4.0,5.0,4.5,4.0,4.5,4.4,0
4.1,4.0,4.0,5.0,4.5,4.0,4.0,4.23,0
4.65,4.5,4.5,5.0,5.0,5.0,4.5,4.74,1
4.85,5.0,5.0,5.0,5.0,4.5,5.0,4.91,1
4.6,4.5,5.0,4.5,4.5,4.5,4.5,4.59,1
4.9,5.0,5.0,5.0,5.0,5.0,5.0,4.99,1
4.85,5.0,4.5,4.5,5.0,5.0,4.5,4.76,1
4.85,5.0,5.0,5.0,5.0,5.0,5.0,4.98,1
4.85,5.0,5.0,5.0,4.5,4.5,5.0,4.84,1
4.45,4.5,4.5,5.0,5.0,4.5,4.5,4.64,1
4.8,4.5,5.0,5.0,5.0,5.0,4.5,4.83,1
4.75,5.0,4.5,5.0,5.0,5.0,5.0,4.89,1
4.65,4.5,4.5,4.5,5.0,5.0,4.5,4.66,1
4.35,4.5,4.5,4.5,4.5,5.0,4.0,4.48,0
4.65,5.0,5.0,5.0,5.0,4.5,4.5,4.81,1
4.9,5.0,5.0,5.0,5.0,4.5,5.0,4.91,1
4.6,4.5,4.5,5.0,5.0,4.5,4.5,4.66,1
